
400) Value  : -65.47668
401) Value  : -63.73257
402) Value  : -57.94518
403) Value  : -57.85721
404) Value  : -55.34304
405) Value  : -57.85748
406) Value  : -50.02644
407) Value  : -48.70818
408) Value  : -45.04096
409) Value  : -42.60855
410) Value  : -42.28865
411) Value  : -36.61900
412) Value  : -37.68300
413) Value  : -31.47065
414) Value  : -38.18959
415) Value  : -31.25473
416) Value  : -28.07278
417) Value  : -32.43729
418) Value  : -19.06511
419) Value  : -20.96009
420) Value  : -25.78091
421) Value  : -18.44614
422) Value  : -20.40589
423) Value  : -14.18261
424) Value  : -11.66602
425) Value  : -11.94161
426) Value  : -4.90922
427) Value  : -3.15730
428) Value  : -0.30911
429) Value  : -0.44079
430) Value  : 2.55720
431) Value  : 5.04427
432) Value  : 7.56952
433) Value  : 7.89048
434) Value  : 8.50481
435) Value  : 13.32298
436) Value  : 14.27558
437) Value  : 15.94775
438) Value  : 16.88863
439) Value  : 20.26319
440) Value  : 21.84837
441) Value  : 22.19194
442) Value  : 30.87571
443) Value  : 27.04607
444) Value  : 27.90005
445) Value  : 37.56724
446) Value  : 38.64761
447) Value  : 37.65152
448) Value  : 40.93636
449) Value  : 47.28240
450) Value  : 43.01973
451) Value  : 46.15568
452) Value  : 49.77715
453) Value  : 53.01648
454) Value  : 54.22442
455) Value  : 58.40103
456) Value  : 59.32661
457) Value  : 59.57171
458) Value  : 61.67347
459) Value  : 64.49771
460) Value  : 67.81271
461) Value  : 67.33468
462) Value  : 74.64151
463) Value  : 69.32990
464) Value  : 76.13267
465) Value  : 74.85695
466) Value  : 77.68118
467) Value  : 76.26418
468) Value  : 83.70354
469) Value  : 83.24666
470) Value  : 86.09670
471) Value  : 93.49897
472) Value  : 91.12771
473) Value  : 90.21417
474) Value  : 88.83670
475) Value  : 89.92733
476) Value  : 96.03870
477) Value  : 93.62996
478) Value  : 96.86828
479) Value  : 102.09524
480) Value  : 98.33984
481) Value  : 104.60090
482) Value  : 100.86671
483) Value  : 107.64046
484) Value  : 108.68667
485) Value  : 109.81319
486) Value  : 110.03903
487) Value  : 108.51743
488) Value  : 115.49382
489) Value  : 117.58647
490) Value  : 116.79701
491) Value  : 117.99215
492) Value  : 116.44880
493) Value  : 118.79053
494) Value  : 121.50200
495) Value  : 118.07861
496) Value  : 118.90947
497) Value  : 120.25482
498) Value  : 124.57531
499) Value  : 124.43249
500) Value  : 122.39459
